"subject" "condition" "item" "variable" "value"
"8651" 2 "c" 2 "TRC" NA
"8652" 2 "c" 2 "TRC" NA
"8653" 2 "b" 9 "TRC" 0
"8654" 2 "b" 9 "TRC" 0
"8655" 2 "b" 9 "TRC" 1
"8656" 2 "b" 9 "TRC" 0
"8657" 2 "b" 9 "TRC" 0
"8658" 2 "b" 9 "TRC" 2
"8659" 2 "b" 9 "TRC" 2
"8660" 2 "b" 9 "TRC" 2
"8661" 2 "b" 9 "TRC" NA
"8662" 2 "b" 9 "TRC" 3
"8663" 2 "b" 9 "TRC" NA
"8664" 2 "b" 9 "TRC" NA
"8665" 2 "b" 13 "TRC" 0
"8666" 2 "b" 13 "TRC" 1
"8667" 2 "b" 13 "TRC" 4
"8668" 2 "b" 13 "TRC" 2
"8669" 2 "b" 13 "TRC" 2
"8670" 2 "b" 13 "TRC" 2
"8671" 2 "b" 13 "TRC" 2
"8672" 2 "b" 13 "TRC" 2
"8673" 2 "b" 13 "TRC" 3
"8674" 2 "b" 13 "TRC" NA
"8675" 2 "b" 13 "TRC" NA
"8676" 2 "b" 13 "TRC" NA
"8677" 2 "d" 15 "TRC" 0
"8678" 2 "d" 15 "TRC" 0
"8679" 2 "d" 15 "TRC" 2
"8680" 2 "d" 15 "TRC" 1
"8681" 2 "d" 15 "TRC" 2
"8682" 2 "d" 15 "TRC" 1
"8683" 2 "d" 15 "TRC" 0
"8684" 2 "d" 15 "TRC" 1
"8685" 2 "d" 15 "TRC" 1
"8686" 2 "d" 15 "TRC" NA
"8687" 2 "d" 15 "TRC" NA
"8688" 2 "d" 15 "TRC" NA
"8689" 2 "a" 8 "TRC" 0
"8690" 2 "a" 8 "TRC" 0
"8691" 2 "a" 8 "TRC" 1
"8692" 2 "a" 8 "TRC" 1
"8693" 2 "a" 8 "TRC" 2
"8694" 2 "a" 8 "TRC" 1
"8695" 2 "a" 8 "TRC" 1
"8696" 2 "a" 8 "TRC" 1
"8697" 2 "a" 8 "TRC" NA
"8698" 2 "a" 8 "TRC" 1
"8699" 2 "a" 8 "TRC" NA
"8700" 2 "a" 8 "TRC" NA
"8701" 2 "c" 10 "TRC" 0
"8702" 2 "c" 10 "TRC" 0
"8703" 2 "c" 10 "TRC" 2
"8704" 2 "c" 10 "TRC" NA
"8705" 2 "c" 10 "TRC" 0
"8706" 2 "c" 10 "TRC" 1
"8707" 2 "c" 10 "TRC" 0
"8708" 2 "c" 10 "TRC" 1
"8709" 2 "c" 10 "TRC" 1
"8710" 2 "c" 10 "TRC" 1
"8711" 2 "c" 10 "TRC" NA
"8712" 2 "c" 10 "TRC" NA
"8713" 2 "d" 3 "TRC" 0
"8714" 2 "d" 3 "TRC" 0
"8715" 2 "d" 3 "TRC" 1
"8716" 2 "d" 3 "TRC" 0
"8717" 2 "d" 3 "TRC" 1
"8718" 2 "d" 3 "TRC" 1
"8719" 2 "d" 3 "TRC" 0
"8720" 2 "d" 3 "TRC" 0
"8721" 2 "d" 3 "TRC" 1
"8722" 2 "d" 3 "TRC" 2
"8723" 2 "d" 3 "TRC" NA
"8724" 2 "d" 3 "TRC" NA
"8725" 2 "a" 4 "TRC" 0
"8726" 2 "a" 4 "TRC" 1
"8727" 2 "a" 4 "TRC" 4
"8728" 2 "a" 4 "TRC" 1
"8729" 2 "a" 4 "TRC" 1
"8730" 2 "a" 4 "TRC" 4
"8731" 2 "a" 4 "TRC" 1
"8732" 2 "a" 4 "TRC" 4
"8733" 2 "a" 4 "TRC" 2
"8734" 2 "a" 4 "TRC" 2
